x,Left_1,Right_1,Left_2,Right_2,Left_3,Right_3,Left_4,Right_4,Left_5,Right_5,Left_avg,Right_avg
17.9,949.556757,961.556757,826.424242,814.666667,834.06383,860.723404,916.827586,973.747126,983.314815,972.296296,902.037446,916.59805
18,955.027027,967.027027,831.212121,819.333333,838.723404,865.531915,918.275862,970.137931,989.518519,978.37037,906.551387,920.080115
18.1,960.497297,972.497297,836,824,843.382979,870.340426,919.724138,966.528736,995.722222,984.444444,911.065327,923.562181
18.2,965.967568,977.967568,844.403101,831.193798,848.042553,875.148936,921.172414,962.91954,1001.92593,990.518519,916.302312,927.549672
18.3,971.437838,983.437838,852.806202,838.387597,852.702128,879.957447,922.62069,959.310345,1008.12963,996.592593,921.539297,931.537164
18.4,976.908108,988.908108,861.209302,845.581395,857.361702,884.765957,924.068966,955.701149,1014.33333,1002.66667,926.776282,935.524655
18.5,982.378378,994.378378,869.612403,852.775194,862.021277,889.574468,925.517241,952.091954,1020.53704,1008.74074,932.013267,939.512147
18.6,987.848649,999.848649,878.015504,859.968992,866.680851,894.382979,926.965517,948.482759,1026.74074,1014.81481,937.250252,943.499639
18.7,993.318919,1005.31892,886.418605,867.162791,871.340426,899.191489,928.413793,944.873563,1032.94444,1020.88889,942.487237,947.48713
18.8,998.789189,1010.78919,894.821705,874.356589,876,904,929.862069,941.264368,1039.14815,1026.96296,947.724222,951.474622
18.9,1004.25946,1016.25946,903.224806,881.550388,885.048387,913.016129,931.310345,937.655172,1045.35185,1033.03704,953.83897,956.303637
19,1009.72973,1021.72973,911.627907,888.744186,894.096774,922.032258,932.758621,934.045977,1051.55556,1039.11111,959.953717,961.132652
19.1,1015.2,1027.2,920.031008,895.937984,903.145161,931.048387,934.206897,930.436782,1057.75926,1045.18519,966.068465,965.961668
19.2,1020.67027,1032.67027,928.434109,903.131783,912.193548,940.064516,935.655172,926.827586,1063.96296,1051.25926,972.183213,970.790683
19.3,1026.14054,1038.14054,936.837209,910.325581,921.241935,949.080645,937.103448,923.218391,1070.16667,1057.33333,978.29796,975.619698
19.4,1031.61081,1043.61081,945.24031,917.51938,930.290323,958.096774,938.551724,919.609195,1076.37037,1063.40741,984.412708,980.448714
19.5,1037.08108,1049.08108,953.643411,924.713178,939.33871,967.112903,940,916,1082.57407,1069.48148,990.527455,985.277729
19.6,1042.55135,1054.55135,962.046512,931.906977,948.387097,976.129032,946.47619,922.285714,1088.77778,1075.55556,997.647786,992.085726
19.7,1048.02162,1060.02162,970.449612,939.100775,957.435484,985.145161,952.952381,928.571429,1094.98148,1081.62963,1004.76812,998.893723
19.8,1053.49189,1065.49189,978.852713,946.294574,966.483871,994.16129,959.428571,934.857143,1101.18519,1087.7037,1011.88845,1005.70172
19.9,1058.96216,1070.96216,987.255814,953.488372,975.532258,1003.17742,965.904762,941.142857,1107.38889,1093.77778,1019.00878,1012.50972
20,1064.43243,1076.43243,995.658915,960.682171,984.580645,1012.19355,972.380952,947.428571,1113.59259,1099.85185,1026.12911,1019.31771
20.1,1069.9027,1081.9027,1004.06202,967.875969,993.629032,1021.20968,978.857143,953.714286,1119.7963,1105.92593,1033.24944,1026.12571
20.2,1075.37297,1087.37297,1012.46512,975.069767,1002.67742,1030.22581,985.333333,960,1126,1112,1040.36977,1032.93371
20.3,1080.84324,1092.84324,1020.86822,982.263566,1011.72581,1039.24194,991.809524,966.285714,1132.2037,1118.07407,1047.4901,1039.74171
20.4,1086.31351,1098.31351,1029.27132,989.457364,1020.77419,1048.25806,998.285714,972.571429,1138.40741,1124.14815,1054.61043,1046.5497
20.5,1091.78378,1103.78378,1037.67442,996.651163,1029.82258,1057.27419,1004.7619,978.857143,1144.61111,1130.22222,1061.73076,1053.3577
20.6,1097.25405,1109.25405,1046.07752,1003.84496,1038.87097,1066.29032,1011.2381,985.142857,1150.81481,1136.2963,1068.85109,1060.1657
20.7,1102.72432,1114.72432,1054.48062,1011.03876,1047.91935,1075.30645,1017.71429,991.428571,1157.01852,1142.37037,1075.97142,1066.9737
20.8,1108.19459,1120.19459,1062.88372,1018.23256,1056.96774,1084.32258,1024.19048,997.714286,1163.22222,1148.44444,1083.09175,1073.78169
20.9,1113.66486,1125.66486,1071.28682,1025.42636,1066.01613,1093.33871,1030.66667,1004,1169.42593,1154.51852,1090.21208,1080.58969
21,1119.13514,1131.13514,1079.68992,1032.62016,1075.06452,1102.35484,1037.14286,1010.28571,1175.62963,1160.59259,1097.33241,1087.39769
21.1,1124.60541,1136.60541,1088.09302,1039.81395,1084.1129,1111.37097,1043.61905,1016.57143,1181.83333,1166.66667,1104.45274,1094.20568
21.2,1130.07568,1142.07568,1096.49612,1047.00775,1093.16129,1120.3871,1050.09524,1022.85714,1188.03704,1172.74074,1111.57307,1101.01368
21.3,1135.54595,1147.54595,1104.89922,1054.20155,1102.20968,1129.40323,1056.57143,1029.14286,1194.24074,1178.81481,1118.6934,1107.82168
